,validated,accepted,committed, ,avg_accep,avg_comm
0,9,21,81,10.46653307,66.78997996,95.65811623
1,10,22,82,,,
2,11,1961,2073,,,
3,10,22,85,,,
4,10,23,86,,,
5,11,23,84,,,
6,9,20,115,,,
7,11,23,84,,,
8,10,666,773,,,
9,11,23,84,,,
10,12,24,84,,,
11,10,22,82,,,
12,10,21,83,,,
13,11,23,115,,,
14,11,25,94,,,
15,12,23,116,,,
16,10,21,81,,,
17,12,24,86,,,
18,11,26,96,,,
19,11,24,86,,,
20,10,22,82,,,
21,9,20,111,,,
22,12,24,87,,,
23,11,23,83,,,
24,12,24,113,,,
25,11,23,125,,,
26,11,110,173,,,
27,11,22,82,,,
28,10,22,104,,,
29,11,23,83,,,
30,10,21,107,,,
31,11,23,82,,,
32,11,23,83,,,
33,11,22,83,,,
34,10,21,82,,,
35,11,23,86,,,
36,10,22,125,,,
37,11,23,116,,,
38,10,24,86,,,
39,10,22,84,,,
40,10,22,80,,,
41,11,22,81,,,
42,11,23,84,,,
43,11,25,107,,,
44,11,24,109,,,
45,10,22,107,,,
46,11,23,83,,,
47,10,22,91,,,
48,9,21,83,,,
49,10,23,84,,,
50,10,22,115,,,
51,10,21,84,,,
52,11,24,87,,,
53,12,386,491,,,
54,11,22,84,,,
55,11,23,87,,,
56,9,23,84,,,
57,12,24,89,,,
58,10,23,84,,,
59,11,23,86,,,
60,11,23,84,,,
61,10,22,102,,,
62,9,21,85,,,
63,11,23,107,,,
64,10,22,86,,,
65,10,2047,3613,,,
66,11,23,85,,,
67,11,756,1391,,,
68,10,22,122,,,
69,11,24,118,,,
70,10,21,104,,,
71,10,22,82,,,
72,10,22,117,,,
73,11,23,84,,,
74,11,22,82,,,
75,11,24,86,,,
76,11,23,86,,,
77,10,23,83,,,
78,9,22,115,,,
79,10,24,87,,,
80,11,24,87,,,
81,10,22,113,,,
82,12,23,109,,,
83,11,23,87,,,
84,10,22,83,,,
85,10,22,111,,,
86,10,21,84,,,
87,10,22,108,,,
88,9,21,85,,,
89,9,21,79,,,
90,10,22,84,,,
91,9,21,113,,,
92,10,22,80,,,
93,11,23,85,,,
94,11,23,115,,,
95,10,22,84,,,
96,11,22,103,,,
97,9,21,121,,,
98,11,23,83,,,
99,11,23,129,,,
100,11,23,84,,,
101,10,22,83,,,
102,10,21,105,,,
103,8,20,80,,,
104,10,24,124,,,
105,10,22,87,,,
106,12,24,83,,,
107,10,22,83,,,
108,10,22,83,,,
109,10,22,111,,,
110,10,22,82,,,
111,11,24,84,,,
112,11,23,83,,,
113,11,23,83,,,
114,11,23,83,,,
115,11,21,120,,,
116,11,23,91,,,
117,10,517,625,,,
118,10,21,107,,,
119,11,23,120,,,
120,10,22,108,,,
121,10,21,101,,,
122,10,1039,1147,,,
123,12,23,84,,,
124,10,22,124,,,
125,11,23,83,,,
126,10,21,104,,,
127,9,20,81,,,
