,validated,accepted,committed,avg_val,avg_accep,avg_comm
0,3,9,66,3.299319728,5.757102841,72.74429772
1,3,9,68,,,
2,3,9,91,,,
3,3,9,83,,,
4,4,9,89,,,
5,3,9,68,,,
6,3,9,97,,,
7,3,8,64,,,
8,4,10,67,,,
9,3,8,82,,,
10,4,9,67,,,
11,3,9,68,,,
12,3,8,86,,,
13,3,9,106,,,
14,3,9,64,,,
15,3,9,66,,,
16,3,8,93,,,
17,3,9,64,,,
18,3,9,90,,,
19,3,9,64,,,
20,3,9,95,,,
21,4,9,66,,,
22,4,9,90,,,
23,3,9,91,,,
24,3,9,67,,,
25,4,10,68,,,
26,3,10,98,,,
27,4,9,99,,,
28,3,8,89,,,
29,3,10,68,,,
30,3,9,96,,,
31,3,9,76,,,
32,3,9,106,,,
33,3,9,67,,,
34,3,9,86,,,
35,3,8,65,,,
36,4,11,70,,,
37,3,9,67,,,
38,3,9,97,,,
39,3,9,111,,,
40,3,9,69,,,
41,3,8,67,,,
42,3,9,95,,,
43,3,9,65,,,
44,3,8,63,,,
45,3,9,67,,,
46,3,9,66,,,
47,4,9,88,,,
48,3,9,93,,,
49,3,9,66,,,
50,3,9,68,,,
51,3,8,88,,,
52,3,9,67,,,
53,3,9,105,,,
54,4,10,90,,,
55,3,9,64,,,
56,3,9,69,,,
57,4,10,93,,,
58,3,9,99,,,
59,3,9,100,,,
60,4,10,67,,,
61,3,9,108,,,
62,4,9,110,,,
63,4,9,111,,,
64,4,13,117,,,
65,3,9,64,,,
66,3,9,118,,,
67,3,12,105,,,
68,3,8,89,,,
69,3,9,65,,,
70,4,9,67,,,
71,4,9,67,,,
72,4,9,65,,,
73,4,9,68,,,
74,4,9,239,,,
75,4,9,67,,,
76,3,9,64,,,
77,3,11,67,,,
78,3,9,66,,,
79,4,9,70,,,
80,3,9,92,,,
81,4,9,65,,,
82,3,9,113,,,
83,3,9,65,,,
84,3,9,88,,,
85,3,8,118,,,
86,3,8,63,,,
87,3,9,103,,,
88,3,8,67,,,
89,3,9,64,,,
90,4,9,91,,,
91,4,10,67,,,
92,3,8,91,,,
93,3,9,105,,,
94,3,9,67,,,
95,4,9,95,,,
96,4,9,81,,,
97,4,9,93,,,
98,3,9,66,,,
99,3,8,113,,,
100,3,9,67,,,
101,3,8,64,,,
102,3,9,66,,,
103,3,9,98,,,
104,3,9,64,,,
105,3,8,63,,,
106,3,8,101,,,
107,3,9,105,,,
108,3,9,101,,,
109,3,9,96,,,
110,3,9,114,,,
111,3,9,96,,,
112,4,9,67,,,
113,3,9,90,,,
114,4,9,98,,,
115,4,9,108,,,
116,3,9,98,,,
