,validated,accepted,committed
0,22,160,278
1,4,170,288
2,3,22,110
3,24,112,237
4,3,116,230
5,3,146,255
6,20,130,238
7,3,154,246
8,3,160,265
9,4,147,254
10,3,135,238
11,3,116,207
12,3,148,284
13,2,122,232
14,3,100,207
15,3,138,255
16,3,161,256
17,23,162,267
18,3,123,228
19,3,155,261
20,4,150,254
21,3,132,239
22,2,139,244
23,22,133,302
24,3,115,218
25,23,138,284
26,23,113,281
27,2,128,232
28,3,163,256
29,2,159,263
30,25,135,268
31,2,165,271
32,2,175,325
33,3,129,231
34,3,139,246
35,24,111,279
36,20,131,232
37,2,103,206
38,2,147,253
39,4,123,227
40,3,168,273
41,20,128,254
42,22,154,267
43,3,31,159
44,3,18,101
45,2,167,273
46,3,156,261
47,22,37,146
48,2,132,236
49,2,127,229
50,23,152,257
51,3,22,108
52,20,131,233
53,2,107,211
54,3,147,252
55,3,139,245
56,3,114,216
57,3,126,231
58,22,139,255
59,21,137,264
60,3,162,272
61,20,117,220
62,20,131,262
63,3,114,218
64,3,119,223
65,22,181,291
66,3,141,246
67,4,152,258
68,3,160,266
69,27,180,283
70,3,142,277
71,3,7,64
72,3,133,235
73,3,118,247
74,20,135,281
75,22,174,275
76,3,151,259
77,25,126,295
78,3,153,256
79,24,153,264
80,20,164,272
81,3,168,271
82,2,150,280
83,4,100,207
84,29,148,295
85,3,126,227
86,3,167,303
87,2,117,209
88,3,149,254
89,2,170,276
90,2,171,281
91,4,135,238
92,22,162,310
93,23,149,250
94,4,157,261
95,4,13,139
96,3,158,268
97,4,154,268
98,3,165,272
99,3,153,256
